"PARENTOBJECTTYPE","PARENTID","CHILDID","CHILDOBJECTTYPE","CREATEDAT","UPDATEDAT"
"skillgroup","673b3fd26221dab5a11bb428","673b3fd26221dab5a11bb20f","skillgroup","2024-11-18T13:23:54.599Z","2024-11-18T13:23:54.599Z"
"skillgroup","673b3fd26221dab5a11bb20f","673b3fd26221dab5a11bb210","skillgroup","2024-11-18T13:23:54.599Z","2024-11-18T13:23:54.599Z"
"skillgroup","673b3fd26221dab5a11bb210","673b3fd26221dab5a11bb211","skillgroup","2024-11-18T13:23:54.599Z","2024-11-18T13:23:54.599Z"
"skillgroup","673b3fd26221dab5a11bb20f","673b3fd26221dab5a11bb212","skillgroup","2024-11-18T13:23:54.599Z","2024-11-18T13:23:54.599Z"
"skillgroup","673b3fd26221dab5a11bb212","673b3fd26221dab5a11bb213","skillgroup","2024-11-18T13:23:54.599Z","2024-11-18T13:23:54.599Z"
"skillgroup","673b3fd26221dab5a11bb20f","673b3fd26221dab5a11bb214","skillgroup","2024-11-18T13:23:54.599Z","2024-11-18T13:23:54.599Z"
"skillgroup","673b3fd26221dab5a11bb214","673b3fd26221dab5a11bb215","skillgroup","2024-11-18T13:23:54.599Z","2024-11-18T13:23:54.599Z"
"skillgroup","673b3fd26221dab5a11bb20f","673b3fd26221dab5a11bb216","skillgroup","2024-11-18T13:23:54.599Z","2024-11-18T13:23:54.599Z"
"skillgroup","673b3fd26221dab5a11bb216","673b3fd26221dab5a11bb217","skillgroup","2024-11-18T13:23:54.599Z","2024-11-18T13:23:54.599Z"
"skillgroup","673b3fd26221dab5a11bb20f","673b3fd26221dab5a11bb218","skillgroup","2024-11-18T13:23:54.599Z","2024-11-18T13:23:54.599Z"
"skillgroup","673b3fd26221dab5a11bb218","673b3fd26221dab5a11bb219","skillgroup","2024-11-18T13:23:54.599Z","2024-11-18T13:23:54.599Z"
"skillgroup","673b3fd26221dab5a11bb428","673b3fd26221dab5a11bb21a","skillgroup","2024-11-18T13:23:54.599Z","2024-11-18T13:23:54.599Z"
"skillgroup","673b3fd26221dab5a11bb21a","673b3fd26221dab5a11bb21b","skillgroup","2024-11-18T13:23:54.599Z","2024-11-18T13:23:54.599Z"
